id,band,title,year,albumID,rand()
1,1,Taste the Hate,2014,66660,94728
2,3,The Bringer of Death,2014,66661,94727
3,4,Deception| Calculate What You Can't See,2005,66662,94726
4,7,Inti Huacay,1998,66663,94725
5,7,Genesis & horror,2002,66664,94724
6,7,Vision,2004,66665,94723
7,7,Neo-ritual,2005,66666,94722
8,7,Vox Fatum,2007,66667,94721
9,7,Brutal Miserable Drama,2010,66668,94720
10,7,Inexorable,2013,66669,94719
11,7,Implacable utopa,2016,66670,94718
12,8,I've Heard That Once Before,2004,66671,94717
13,8,Cries of Terror,2004,66672,94716
14,11,The Book of Sorrows,2002,66673,94715
15,13,9,2009,66674,94714
16,14,Apocatastasis Reversed,2007,66675,94713
17,15,Suffering,2010,66676,94712
18,16,Of Pain and Blood,2011,66677,94711
19,16,Hecatomb,2013,66678,94710
20,18,Decapitated,2000,66679,94709
21,18,We Walk This Earth (Revelations of the Dead),2001,66680,94708
22,18,Rituals of the Dead,2003,66681,94707
23,18,Beneath the Sorrow,2006,66682,94706
24,18,Time to Kill,2008,66683,94705
25,18,More Heads Severed,2009,66684,94704
26,18,Demons from Within,2010,66685,94703
27,18,The Things Death Brings,2011,66686,94702
28,18,Murder Them,2012,66687,94701
29,18,Human Kind Dies,2014,66688,94700
30,18,Strangulation,2016,66689,94699
31,19,...and Blood Was Shed,2011,66690,94698
32,19,Swallowed by the Oceans,2016,66691,94697
33,20,La venjança ens fa viure,2013,66692,94696
34,21,Beyond Pain Threshold,2004,66693,94695
35,21,No One Said It Would Be Easy,2007,66694,94694
36,23,Official Cover,2000,66695,94693
37,23,Elliptic White Square,2001,66696,94692
38,23,The Musical Body,2002,66697,94691
39,23,No Cover Available,2003,66698,94690
40,23,Five Songs from Us,2004,66699,94689
41,23,Four Songs from Us,2005,66700,94688
42,27,Abaddon,2015,66701,94687
43,28,Tell to Your God I Have Won Again,2009,66702,94686
44,30,Armageddon,2008,66703,94685
45,32,Funkin' Murderers,1995,66704,94684
46,43,Virtus Diaboli,2013,66705,94683
47,44,Di Humani Corporis Fabrica,2003,66706,94682
48,45,No creyente,2015,66707,94681
49,50,The Morgue| the Merrier,2008,66708,94680
50,50,T-Minus,2009,66709,94679
51,50,Time Is the Perfect Gift,2011,66710,94678
52,50,El Solo Lobo,2015,66711,94677
53,51,Itihasa Purushartas,2015,66712,94676
54,53,When Depravity Incarnates,2011,66713,94675
55,60,You Only Die Once,2015,66714,94674
56,61,Miasmic Mutation,2015,66715,94673
57,63,Faces of Death,2001,66716,94672
58,69,Still Breathing in the Mass Grave,2007,66717,94671
59,72,I'm a Monster,2005,66718,94670
60,79,Globalisierungswahn,2004,66719,94669
61,87,Rites of the Eternal Hate,2000,66720,94668
62,87,Doutrine of False Martyr,2003,66721,94667
63,88,Altar Fenebre,2015,66722,94666
64,89,Chaos Unleashed,1995,66723,94665
65,93,The Purity of Perversion,1999,66724,94664
66,93,Engineering the Dead,2001,66725,94663
67,93,Goremageddon: The Saw and the Carnage Done,2003,66726,94662
68,93,The Archaic Abattoir,2005,66727,94661
69,93,Slaughter & Apparatus: A Methodical Overture,2007,66728,94660
70,93,Strychnine.213,2008,66729,94659
71,93,Global Flatline,2012,66730,94658
72,93,The Necrotic Manifesto,2014,66731,94657
73,93,Retrogore,2016,66732,94656
74,94,Until Then| What's to Believe?,2007,66733,94655
75,98,Judge Me Not,1999,66734,94654
76,98,Process of Elimination,2001,66735,94653
77,100,Abramelin,1995,66736,94652
78,100,Deadspeak,2000,66737,94651
79,101,Violent Core Traction,2006,66738,94650
80,102,Damnation,2011,66739,94649
81,107,Grave Offerings,2015,66740,94648
82,110,Morbopraxis,2002,66741,94647
83,112,Audi ... Vide ... Sile,2005,66742,94646
84,113,Mental Battle Resurrection,2007,66743,94645
85,117,IX,2016,66744,94644
86,120,Inside Out-Life,1999,66745,94643
87,121,Dealing with Pain,2010,66746,94642
88,124,Visions in Bloodred,2002,66747,94641
89,132,Habeas Corpus,2011,66748,94640
90,141,From Ashes,2006,66749,94639
91,141,Programmed to Consume,2008,66750,94638
92,141,Leveling the Plane of Existence,2011,66751,94637
93,141,Obsolescence,2014,66752,94636
94,143,Strange Rites,2012,66753,94635
95,145,The Bible of Hate,2010,66754,94634
96,146,Fragments of Insanity,2005,66755,94633
97,147,Dusk of Gods,2005,66756,94632
