producerName,region,Phone_Number,Email
120Films|Canal+|Eskwad,France,3619087606,RXXU@gmail.com
1492Pictures|ColumbiaPicturesCorporation|LaurenceMarkProductions,USA|Germany,3176381672,NPIP@gmail.com
1492Pictures|HeydayFilms|MIRACLEProductionsGmbHCo.KG,UK|USA|Germany,2506215931,MCIE@gmail.com
1492Pictures|TwentiethCenturyFoxFilmCorporation,USA,5438477840,KHYW@gmail.com
17thStreetProductions|AlloyEntertainment|CBSParamountNetworkTelevision,USA,328908828,DZYA@gmail.com
1984PrivateDefenseContractors|CrossCreekPictures|DaVinciMediaVentures,USA,4497560747,ZGBG@gmail.com
2.4.7.Films|France3Cin茅ma|Kennedy/MarshallCompany|The,France|USA,6122412486,UIYF@gmail.com
20thCenturyFoxTelevision|AmigosdeGarciaProductions,USA,854257625,HABF@gmail.com
20thCenturyFoxTelevision|AtlanticCreative|FoxTelevisionAnimation,USA,2671337400,FFDB@gmail.com
20thCenturyFoxTelevision|BaysThomasProductions,USA,3535915204,OHVQ@gmail.com
20thCenturyFoxTelevision|FuzzyDoorProductions|FoxTelevisionAnimation,USA,509269403,TJRE@gmail.com
21LapsEntertainment|MonkeyMassacre,USA,8804911067,CWED@gmail.com
25thHourProductions|40AcresAMuleFilmworks|GamutFilms,USA,9486960916,VFPH@gmail.com
3ArtsEntertainment|AltschulerKrinskyWorks|JudgementalFilmsInc.,USA,3471789151,WKZT@gmail.com
3ArtsEntertainment|BayFilms|DuneFilms,Malta|Morocco|USA,3428704542,MMFK@gmail.com
3ArtsEntertainment|DoubleFeatureFilms|PeaPieFilms,USA,4968202836,ZMOQ@gmail.com
3ArtsEntertainment|JoliePas|LegendaryEntertainment,USA,4768372344,SDRY@gmail.com
3leven|CaglarArtsEntertainment|InsigniaProductions,Turkey,8466466832,IWUJ@gmail.com
888Productions|GoldenHarvestCompany|LimelightEntertainment,USA|HongKong,6072353742,JQEK@gmail.com
A.A.ProductionsLtd.|Anya|Harris-KubrickProductions,UK|USA,137005477,WNJM@gmail.com
A24|PASTEL|PlanBEntertainment,USA,3325370084,SQSF@gmail.com
AamirKhanProductions|AshutoshGowarikerProductionsPvt.Ltd.|JhamuSughandProductions,India,1224131731,XVMG@gmail.com
AamirKhanProductions|PVRPictures,India,4628132531,VKWB@gmail.com
AamirKhanProductions|WaltDisneyPictures,India,2983925227,GGGV@gmail.com
AardmanAnimations|DreamWorksAnimation,UK|USA,1593824376,RGPF@gmail.com
AardmanAnimations|DreamWorksAnimation|Path茅,UK|USA,3578672661,TRNH@gmail.com
AbandonEntertainment|CollisionEntertainment|DepthEntertainment,UK|USA|France,1897654225,CLED@gmail.com
ABCFamily|AlloyEntertainment|WarnerHorizonTelevision,Canada|USA,5953698785,XVTQ@gmail.com
ABCStudios|DeKnightProductions|GoddardTextiles,USA,8456550737,LPFS@gmail.com
ABCStudios|Disney-ABCDomesticTelevision|MarvelStudios,USA,6998229812,IEKG@gmail.com
ABCStudios|MarvelStudios|TallGirlsProductions,USA,235653826,SMMI@gmail.com
ABCTelevisionStudio|Disney-ABCDomesticTelevision|MarvelEntertainment,USA,3025726060,PQWW@gmail.com
AbrahamProductions|BazelevsProduction|LocationGourmet,USA,7590966874,EQVW@gmail.com
Adelstein-ParouseProductions|DawnOlmsteadProductions|AdelsteinProductions,USA,5866401337,TGUO@gmail.com
AggregateFilms|DumbDumb|StuberProductions,UK|USA,9855014910,IZBC@gmail.com
AggressiveMediocrity|AndThen...|ShowtimeNetworks,USA,5481863775,SACG@gmail.com
AggressiveMediocrity|DCEntertainment|JerryBruckheimerTelevision,USA,9238980028,BBAR@gmail.com
AirborneProductions|IconProductions,USA,5779306826,UKBB@gmail.com
AkiraCommitteeCompanyLtd.|K么dansha|MainichiBroadcastingSystem(MBS),USA,14463420,OZCK@gmail.com
AlconEntertainment|8:38Productions|MadhouseEntertainment,Japan,9222711626,EJLO@gmail.com
